"ID";"Name";"SKU";"Model";"Group_ID";"Group_Name";"Unit";"Keywords";"Description";"Availability";"Type";"Price";"Currency";"Discount";"Image";"Vendor";"Country";"URL"
"18607";"Вудлище Yamaga Blanks Blue Current TZ BLC-70/Tz NANO";"FSH0000992";"";"896";"Вудлища";"шт.";"Yamaga Blanks, Быстрый / Fast, 2.13, Спінінгові, Blue Current TZ, В наличии";"Вудлище Yamaga Blanks Blue Current 70Tz Nano - універсальний лайт нового покоління, виготовлений з карбонового композиту з особливою молекулярною структурою волокон і гранично низьким вмістом смол. Недосяжне раніше співвідношення легкості та жорсткості тонкостінного бланка дає йому ідеальну чутливість, забезпечує можливість поєднати відмінні кастингові властивості по всій ширині тестового діапазону зі здатністю залишатися жорстким і зібраним у будь-якій анімації, включаючи ривкові техніки з приманками джигів або воблерами-мінноу. Змінюючи товщину РЕ-шнурів, що застосовуються, можна адаптувати цей унікальний інструмент до будь-якої лайтової техніки. З ниткою PE #0.4 це елітний джиговик під навантаження до 8 грамів, для полювання на будь-якого хижака, від ніжногубого окуня до судаків та щук з їх потужними щелепами. Встановіть на свою котушку шпулю з РЕ #0.6 або навіть #0.8 - і у вас в руках радикальний твічінговий інструмент, який впевнено оперує воблерами-мінноу довжиною до 8 см. У будь-якому випадку якість лову з цим найлегшим, надінформативним і потужним вудлищем вас вразить: нічого подібного ви навіть уявити не могли. Довжина моделі BLC-70Tz Nano: 2.19 м. Маса: 64 гр. Строй: fast.Tubular tip.Вміст карбону: 99,6%. Кільця: Fuji KR-series Ti. Тест з приманок: 0.7 - 7 гр. Тест із шнура: PE#0.2-0.4. Made in Japan.";"true";"r";"20960";"UAH";"0%";"https://fishingstock.ua/upload/iblock/bdf/bdf2d42f04072e8b58c32a4783918cf2.jpeg, https://fishingstock.ua/upload/iblock/319/319d119110e52faa7df4ad9f2c60e6d4.jpeg, https://fishingstock.ua/upload/iblock/0c6/0c653f2f7489b76b908370e7dd9fc950.jpeg, https://fishingstock.ua/upload/iblock/03a/03aa046dfe1d70914c0102b6376df493.jpeg";"Yamaga Blanks";"Японія";"https://fishingstock.ua/catalog/vudlishcha/vudlishche_yamaga_blanks_blue_current_tz_blc_70_tz_nano/"
"18758";"Вудлище Yamaga Blanks Blue Current TZ BLC-70/Tz NANO";"";"";"896";"Вудлища";"шт.";"Yamaga Blanks, Быстрый / Fast, 2.13, Спінінгові, Blue Current TZ, В наличии";"Вудлище Yamaga Blanks Blue Current 70Tz Nano - універсальний лайт нового покоління, виготовлений з карбонового композиту з особливою молекулярною структурою волокон і гранично низьким вмістом смол. Недосяжне раніше співвідношення легкості та жорсткості тонкостінного бланка дає йому ідеальну чутливість, забезпечує можливість поєднати відмінні кастингові властивості по всій ширині тестового діапазону зі здатністю залишатися жорстким і зібраним у будь-якій анімації, включаючи ривкові техніки з приманками джигів або воблерами-мінноу.
Змінюючи товщину РЕ-шнурів, що застосовуються, можна адаптувати цей унікальний інструмент до будь-якої лайтової техніки. З ниткою PE #0.4 це елітний джиговик під навантаження до 8 грамів, для полювання на будь-якого хижака, від ніжногубого окуня до судаків та щук з їх потужними щелепами. Встановіть на свою котушку шпулю з РЕ #0.6 або навіть #0.8 - і у вас в руках радикальний твічінговий інструмент, який впевнено оперує воблерами-мінноу довжиною до 8 см. У будь-якому випадку якість лову з цим найлегшим, надінформативним і потужним вудлищем вас вразить: нічого подібного ви навіть уявити не могли.
Довжина моделі BLC-70Tz Nano: 2.19 м. Маса: 64 гр. Строй: fast.Tubular tip.Вміст карбону: 99,6%. Кільця: Fuji KR-series Ti. Тест з приманок: 0.7 - 7 гр. Тест із шнура: PE#0.2-0.4. Made in Japan.

";"true";"r";"20960";"UAH";"0%";"";"Yamaga Blanks";"Японія";"https://fishingstock.ua/catalog/vudlishcha/vudlishche_yamaga_blanks_blue_current_tz_blc_70_tz_nano/"
"23951";"Гачок Vanfook для блешень одинарний SP-31BL";"";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!";"true";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
"23955";"Гачок Vanfook офсетний WORM35B Flat NS Black";"";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!";"true";"r";"125";"UAH";"0%";"https://fishingstock.ua/upload/iblock/09e/09e4540069570f54d9e466a7fc402644.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_ofsetniy_worm35b_flat_ns_black/"
"23963";"Гачок Vanfook офсетний WORM55B Flat NS Black";"";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!";"true";"r";"125";"UAH";"0%";"https://fishingstock.ua/upload/iblock/86b/86bc8313f4e752f501c574591d81a88d.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_ofsetniy_worm55b_flat_ns_black/"
"23965";"Гачок Vanfook офсетний WORM55R Red";"";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!";"true";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/4d9/4d97dc8f971480b9b5e9f7b74bfd125a.jpeg, https://fishingstock.ua/upload/iblock/d60/d60ce549598a9062c355ae864af20857.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_ofsetniy_worm55r_red/"
"24097";"Крючки Vanfook офсетные WORM55R Red (#3/0 (7шт))";"FS00000806";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"true";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/4d9/4d97dc8f971480b9b5e9f7b74bfd125a.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_ofsetniy_worm55r_red/"
"24127";"Крючки Vanfook для блесен одинарные SP-31BL (#10 (8шт))";"FS00000552";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"true";"r";"167";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
"24128";"Крючки Vanfook для блесен одинарные SP-31BL (#08 (8шт))";"FS00000346";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"false";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
"24129";"Крючки Vanfook для блесен одинарные SP-31BL (#07 (8шт))";"FS00000315";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"false";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
"24130";"Крючки Vanfook для блесен одинарные SP-31BL (#06 (8шт))";"FS00000304";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"false";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
"24131";"Крючки Vanfook для блесен одинарные SP-31BL (#05 (8шт))";"FS00000270";"";"910";"Розхідники";"шт.";"";"Ефективність роботи будь-якої приманки, оснащеної гачком Vanfook, є абсолютною. Патентований склад сталі, з якої виготовлені ці шедеври рибальського мистецтва, забезпечує неймовірну жорсткість та пружність при мінімальній товщині та масі гачка – отже, приманці забезпечена максимально легка та природна гра. Особлива форма жала і хімічна технологія його заточування дають ідеальну зацепистість, і доводять реалізацію клювань до абсолютного значення – а оскільки загартовуються ці крихітні вбивці за стародавніми японськими традиціями термообробки збройової сталі, затупити такий гачок практично неможливо. Застосовуйте гачки Vanfook у найвідповідальніших випадках спортивних змагань та рибальських експедицій – а якщо ви потребуєте стовідсоткової реалізації клювань на кожній рибалці, застосовуйте їх завжди!

";"true";"r";"145";"UAH";"0%";"https://fishingstock.ua/upload/iblock/907/907513fb5d777a28bcc51d6825aad2d6.jpeg";"Vanfook";"Японія";"https://fishingstock.ua/catalog/rozkhidniki/gachok_vanfook_dlya_bleshen_odinarniy_sp_31bl_/"
